"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
"02571","25023","Plymouth MA","Wareham, MA",10858,1 
"02575","25007","Dukes MA","West Tisbury, MA (PO boxes)",3167,1 
"02576","25023","Plymouth MA","West Wareham, MA",3957,1 
"02584","25019","Nantucket MA","Nantucket, MA (PO boxes)",35,1 
"02601","25001","Barnstable MA","Hyannis, MA",16487,1 
"02630","25001","Barnstable MA","Barnstable, MA",1956,1 
"02631","25001","Barnstable MA","Brewster, MA",10178,1 
"02632","25001","Barnstable MA","Centerville, MA",11475,1 
"02633","25001","Barnstable MA","Chatham, MA",4664,1 
"02635","25001","Barnstable MA","Cotuit, MA",3632,1 
"02637","25001","Barnstable MA","Cummaquid, MA (PO boxes)",267,1 
"02638","25001","Barnstable MA","Dennis, MA",2968,1 
"02639","25001","Barnstable MA","Dennis Port, MA",3238,1 
"02641","25001","Barnstable MA","East Dennis, MA (PO boxes)",332,1 
"02642","25001","Barnstable MA","Eastham, MA",5752,1 
"02643","25001","Barnstable MA","East Orleans, MA (PO boxes)",13,1 
"02644","25001","Barnstable MA","Forestdale, MA",3954,1 
"02645","25001","Barnstable MA","Harwich, MA",10436,1 
"02646","25001","Barnstable MA","Harwich Port, MA",1926,1 
"02647","25001","Barnstable MA","Hyannis Port, MA (PO boxes)",136,1 
"02648","25001","Barnstable MA","Marstons Mills, MA",7325,1 
"02649","25001","Barnstable MA","Mashpee, MA",15060,1 
"02650","25001","Barnstable MA","North Chatham, MA",829,1 
"02652","25001","Barnstable MA","North Truro, MA (PO boxes)",1402,1 
